FID	IID	PC1	PC2
C173	C173	0.0380454	-0.0266318
C174	C174	0.0368559	-0.0198571
C175	C175	0.0366578	-0.0167219
C176	C176	0.0348874	-0.0205182
C177	C177	-0.0674298	-0.0116641
C178	C178	0.0330917	-0.0231015
C179	C179	-0.065045	-0.0094079
C180	C180	0.0375445	-0.0211761
C181	C181	-0.0688808	-0.0125579
C182	C182	0.0363412	-0.0200393
C183	C183	0.0370389	-0.0207283
C184	C184	0.0369296	-0.0165208
C185	C185	-0.0602684	-0.00635038
C186	C186	-0.0573404	-0.00641009
C187	C187	-0.0686749	-0.0149112
C188	C188	-0.0695243	-0.014483
C189	C189	-0.0695404	-0.0145284
C190	C190	0.0332381	-0.0182024
C191	C191	0.0327514	-0.0126028
C192	C192	0.0359235	-0.015474
C193	C193	0.0371939	-0.0148577
C194	C194	0.0327774	-0.016356
C195	C195	-0.0661981	-0.0137893
C196	C196	-0.0653562	-0.0123668
C197	C197	0.0366076	-0.0223271
C198	C198	0.0310355	-0.00844081
C199	C199	0.0293333	-0.0143092
C200	C200	0.0342362	-0.00392614
C201	C201	0.0349281	-0.016891
C202	C202	0.037155	-0.0191661
C203	C203	0.0347181	-0.0244509
W001	W001	0.0367409	-0.0202494
W002	W002	-0.0542906	-0.00226565
W003	W003	-0.0587401	-0.00540726
W004	W004	-0.0548737	-0.000791157
W005	W005	-0.0508009	0.00237835
W006	W006	-0.0572711	-0.00358565
W007	W007	-0.0548207	-0.00363663
W008	W008	-0.0543167	-0.0034556
W009	W009	0.0325835	-0.00943023
W010	W010	-0.0663422	-0.0103691
W011	W011	-0.0712373	-0.0158231
W012	W012	-0.0717547	-0.0166788
W013	W013	-0.0683623	-0.0144846
W014	W014	-0.0277491	0.0480726
W015	W015	0.0131774	0.141689
W016	W016	-0.0712656	-0.0148096
W017	W017	-0.0548133	-0.0021585
W018	W018	-0.0673946	-0.0114416
W019	W019	-0.0624159	-0.00819718
W020	W020	0.0137098	0.107211
W021	W021	-0.0594902	-0.00631143
W022	W022	-0.0541355	-0.00282366
W023	W023	0.0297721	-0.014245
W024	W024	-0.0532858	-0.00239407
W025	W025	0.0146476	0.145725
W026	W026	0.0351877	-0.0197489
W027	W027	-0.0689017	-0.0136248
W028	W028	0.0161213	0.14763
W029	W029	0.0351367	-0.0186137
W030	W030	0.0270945	-0.00980025
W031	W031	0.035706	-0.0218688
W032	W032	0.0357837	-0.0220414
W033	W033	0.0363636	-0.0200478
W034	W034	0.0130627	0.13128
W035	W035	0.0296925	-0.012221
W036	W036	0.0359234	-0.0197516
W037	W037	0.0161183	0.0368726
W038	W038	-0.0712228	-0.0161626
W039	W039	0.0365021	-0.0225769
W040	W040	0.0368981	-0.0189434
W041	W041	-0.0553662	-0.0018893
W042	W042	0.016848	0.056772
W043	W043	0.0367085	-0.01985
W044	W044	0.0350272	-0.0145784
W045	W045	-0.0694417	-0.01329
W046	W046	0.0359937	-0.0254003
W047	W047	-0.0568961	0.0032314
W048	W048	0.0135007	0.0957092
W049	W049	0.0143372	0.141985
W050	W050	-0.0398828	0.0316229
W051	W051	0.0343877	-0.00475939
W052	W052	-0.0695379	-0.0141451
W053	W053	-0.0561037	-0.00317442
W054	W054	0.0351032	-0.0165483
W055	W055	-0.0138066	-0.0135448
W056	W056	-0.072009	-0.017146
W057	W057	-0.0553775	-0.00328492
W058	W058	0.033727	-0.0192375
W059	W059	-0.0722876	-0.0166418
W060	W060	-0.0716275	-0.0152663
W061	W061	-0.0643181	-0.00928226
W062	W062	-0.046082	-0.00316862
W063	W063	-0.0638317	-0.00844227
W064	W064	-0.0693745	-0.013393
W065	W065	-0.0530554	-0.000263867
W066	W066	0.0147289	-0.00829782
W067	W067	-0.0526861	-0.00223643
W068	W068	-0.0664284	-0.00818016
W069	W069	0.0139508	0.127257
W070	W070	0.0367877	-0.0229672
W071	W071	0.0336959	-0.011143
W072	W072	0.0135626	0.143486
W073	W073	0.0354867	-0.00967751
W074	W074	0.0357746	-0.0142652
W075	W075	0.0307483	0.0179898
W076	W076	0.0163876	0.14788
W077	W077	-0.0322067	0.038762
W078	W078	0.0318685	-0.0151342
W079	W079	-0.00869274	-0.00793118
